"id";"COD. INSCRIPCION";"NOMBRE";"MODALIDAD";"CATEGORIA";"DIRECCION";"LOCALIDAD";"MUNICIPIO";"ZONA";"Especialidad";"FECHA DE INSCRIPCION"
"109";"UR000343";"Betelu";"Restaurantes";"Segunda/2 Tenedores";"Mayor 0 S/N";"BETELU";"BETELU";"Pirineos";"Casera o regional";"05/05/1982 0:00:00"
"110";"ur000261";"Beti Jai";"Restaurantes";"Sin definir";"Santa Agueda 4";"AOIZ";"AOIZ / AGOITZ";"Pirineos";;"03/06/1982 0:00:00"
"111";"UR000292";"Biltoki";"Restaurantes";"Sin definir";"García Ximénez 14";"ALTSASU/ALSASUA";"ALTSASU / ALSASUA";"Pirineos";"Casera o regional";"15/02/2005 0:00:00"
"112";"ur000122";"Bocaccio";"Restaurantes";"Sin definir";"Caballeros Templarios, 12 bajo 0 ";"RIBAFORADA";"RIBAFORADA";"La Ribera";;"12/02/2004 0:00:00"
"113";"UR001031";"Bodegas Forka";"Restaurantes";"Tercera/1 tenedor";"Lardín 4";"LUMBIER";"LUMBIER";"Pirineos";"Asador";"30/10/2012 0:00:00"
"114";"ur000615";"Bodegas Leire";"Restaurantes";"Sin definir";"Manuel de Falla 23";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"14/08/1990 0:00:00"
"115";"UR000549";"Bodegas San Martin";"Restaurantes";"Sin definir";"Villa de Lanz 8";"BURLADA";"BURLADA / BURLATA";"Cuenca de Pamplona";"Casera o regional";"21/01/1990 0:00:00"
"116";"ur000330";"Bornax";"Restaurantes";"Sin definir";"Polígono Industrial Valtierra- 0";"VALTIERRA";"VALTIERRA";"La Ribera";"Casera o regional";"11/03/2005 0:00:00"
"117";"UR000604";"Borrasco";"Restaurantes";"Segunda/2 Tenedores";"Abadejo 2";"LERÍN";"LERÍN";"La Ribera";"Casera o regional";"22/05/1991 0:00:00"
"118";"UR000922";"Bruselas Kairos";"Restaurantes";"Sin definir";"Yanguas y Miranda 17";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"01/06/2007 0:00:00"
"119";"ur000266";"Burgalés";"Restaurantes";"Sin definir";"de Navarra 2";"MILAGRO";"MILAGRO";"La Ribera";;"14/10/1981 0:00:00"
"120";"UR000065";"Burger King";"Restaurantes";"Sin definir";"Sancho el Fuerte 83";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Rápida";"27/06/2001 0:00:00"
"121";"UR000997";"Burger King";"Restaurantes";"Sin definir";"Galaria-CC.La Morea A-10 0";"CORDOVILLA";"GALAR";"Cuenca de Pamplona";"Rápida";"13/08/2010 0:00:00"
"122";"UR000998";"Burger King";"Restaurantes";"Sin definir";"C.C. Itaroa Local A-17 0";"HUARTE";"HUARTE / UHARTE";"Cuenca de Pamplona";"Rápida";"10/09/2010 0:00:00"
"123";"UR001024";"Burger King";"Restaurantes";"Sin definir";"Agustinos 0 C/ A parc.1600";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Rápida";"24/02/2012 0:00:00"
"124";"UR131049";"Burger King";"Restaurantes";"Sin definir";"Mercaderes 17";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Rápida";"27/12/2013 0:00:00"
"125";"UR000256";"Burger King Tudela";"Restaurantes";"Sin definir";"Parque Comercial La Barrena, c 0 S/N";"TUDELA";"TUDELA";"La Ribera";"Rápida";"19/01/2005 0:00:00"
"126";"UR001114";"Burgerheim";"Restaurantes";"Segunda/2 Tenedores";"Amaya 2 B Bajo";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Asador, Internacional, Rápida";"12/05/2016 0:00:00"
"127";"UR000337";"Burlada";"Restaurantes";"Sin definir";"Mayor 0 S/N";"ARANTZA";"ARANTZA";"Pirineos";"Casera o regional";"08/08/1982 0:00:00"
"128";"UR000060";"Café con sal";"Restaurantes";"Tercera/1 tenedor";"Juan de Labrit 29";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Asador, Casera o regional, De tapas y raciones";"13/06/2001 0:00:00"
"129";"ur000868";"Cafe Iruña";"Restaurantes";"Sin definir";"del Castillo 44";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"13/09/2000 0:00:00"
"130";"UR001017";"Café Niza";"Restaurantes";"Segunda/2 Tenedores";"Duque de Ahumada 5";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"28/11/2011 0:00:00"
"131";"UR001120";"Café Sabina";"Restaurantes";"Tercera/1 tenedor";"C.C. Itaroa C/ Intxaurdia 5 local 32";"HUARTE";"HUARTE / UHARTE";"Cuenca de Pamplona";"Casera o regional, De tapas y raciones";"17/10/2016 0:00:00"
"132";"UR000792";"Cafestore";"Restaurantes";"Sin definir";"Autopista AP-15 Km. 14 0";"VALTIERRA";"VALTIERRA";"La Ribera";"Casera o regional";"21/04/1997 0:00:00"
"133";"ur000172";"Caldero";"Restaurantes";"Sin definir";"Mutilva Baja, nave 1 0 ";"MUTILVA";"ARANGUREN";"Cuenca de Pamplona";"Casera o regional";"26/07/2004 0:00:00"
"134";"UR000099";"Camino del Perdón";"Restaurantes";"Sin definir";"Mayor 61";"UTERGA";"UTERGA";"Zona Media";"Casera o regional";"30/04/2003 0:00:00"
"135";"UR000190";"Caracho";"Restaurantes";"Tercera/1 tenedor";"Industrial 0 S/N";"CORELLA";"CORELLA";"La Ribera";;"03/09/2004 0:00:00"
"136";"UR000971";"Carranza";"Restaurantes";"Sin definir";"San Juan 1";"MIRANDA DE ARGA";"MIRANDA DE ARGA";"Zona Media";"Casera o regional";"17/03/2009 0:00:00"
"137";"ur000613";"Casa Albero";"Restaurantes";"Sin definir";"Zolina 3";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"23/09/1990 0:00:00"
"138";"UR000801";"Casa Armendariz";"Restaurantes";"Primera/3 tenedores";"Navarro Villoslada 19";"VIANA";"VIANA";"Zona Media";"Sidrería";"24/12/1997 0:00:00"
"139";"UR001149";"Casa Carmen";"Restaurantes";"Segunda/2 Tenedores";"Rua 33";"ESTELLA-LIZARRA";"ESTELLA-LIZARRA";"Zona Media";"Casera o regional, De tapas y raciones, Vegetariana";"04/05/2023 0:00:00"
"140";"ur000167";"Casa Domingo";"Restaurantes";"Sin definir";"Zaragoza, km. 5 8 ";"CAPARROSO";"CAPARROSO";"La Ribera";;"14/10/1981 0:00:00"
"141";"ur000425";"Casa Evaristo";"Restaurantes";"Sin definir";"Estafeta 69";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"21/08/1985 0:00:00"
"142";"UR000865";"Casa Faustina";"Restaurantes";"Sin definir";"Magdalena 58";"BARÍNDANO";"AMÉSCOA BAJA";"Pirineos";"Casera o regional";"06/09/2000 0:00:00"
"143";"UR000520";"Casa Jacinto";"Restaurantes";"Segunda/2 Tenedores";"Polígono Mugazuri, C-11 0 ";"BURLADA";"BURLADA / BURLATA";"Cuenca de Pamplona";"Casera o regional";"22/02/1989 0:00:00"
"144";"ur000866";"Casa Lucas";"Restaurantes";"Sin definir";"Polígono Mocholi, Edificio CEI 0 ";"NOÁIN";"NOÁIN (VALLE DE ELORZ) / NOAIN (ELORTZIBAR)";"Cuenca de Pamplona";"Casera o regional";"05/09/2005 0:00:00"
"145";"ur000441";"Casa Luis";"Restaurantes";"Sin definir";"Padre Calatayud 11";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"05/01/1986 0:00:00"
"146";"UR000009";"Casa Manolo";"Restaurantes";"Sin definir";"García Castañón 12";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";;"26/04/1967 0:00:00"
"147";"UR00024";"Casa Otano";"Restaurantes";"Primera/3 tenedores";"San Nicolás 5";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Asador";"20/01/1966 0:00:00"
"148";"UR001033";"Casa Otsoa";"Restaurantes";"Sin definir";"Mayor 20";"EZCÁROZ";"EZCÁROZ / EZKAROZE";"Pirineos";"Casera o regional";"13/11/2012 0:00:00"
"149";"UR000871";"Casa Perico";"Restaurantes";"Segunda/2 Tenedores";"Berbinzana 12";"LARRAGA";"LARRAGA";"Zona Media";"Casera o regional";"14/09/2005 0:00:00"
"150";"UR001103";"Casa Sabina";"Restaurantes";"Segunda/2 Tenedores";"Única s/n 0";"ORREAGA/RONCESVALLES";"ORREGA / RONCESVALLES";"Pirineos";"Casera o regional";"02/10/2015 0:00:00"
"151";"ur000226";"Casa Santamaría";"Restaurantes";"Sin definir";"Mayor 28";"DONEZTEBE/SANTESTEBAN";"DONEZTEBE / SANTESTEBAN";"Pirineos";;"15/03/1982 0:00:00"
"152";"UR000835";"Casa Zabaleta";"Restaurantes";"Segunda/2 Tenedores";"San Ginés 0 S/N";"AIBAR";"AIBAR / OIBAR";"Zona Media";"Asador";"25/08/2005 0:00:00"
"153";"UR000605";"Casa Zanito";"Restaurantes";"Primera/3 tenedores";"Rua Mayor 16";"OLITE";"OLITE / ERRIBERRI";"Zona Media";"Casera o regional";"23/03/1990 0:00:00"
"154";"UR001085";"Casanellas Taller Gastronómico";"Restaurantes";"Tercera/1 tenedor";"Espoz y Mina, s/n 0 ";"ESTELLA-LIZARRA";"ESTELLA-LIZARRA";"Zona Media";"Casera o regional, De autor, Innovadora, Oriental, Vegetariana";"25/05/2015 0:00:00"
"155";"UR000298";"Casanova";"Restaurantes";"Segunda/2 Tenedores";"Fray Wenceslao de Oñate 8";"ESTELLA-LIZARRA";"ESTELLA-LIZARRA";"Zona Media";"Casera o regional";"08/06/1981 0:00:00"
"156";"UR001143";"Casas de Irati";"Restaurantes";"Tercera/1 tenedor";"Selva de Irati 0";"IRATI";"OCHAGAVÍA / OTSAGABIA";"Pirineos";"Casera o regional";"19/04/2022 0:00:00"
"157";"UR000224";"Catachú";"Restaurantes";"Sin definir";"Lindachiquía 16";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"22/07/1981 0:00:00"
"158";"UR001125";"Centro de esquí nórdico Larra-Belagua";"Restaurantes";"Tercera/1 tenedor";"Ctra Isaba-Francia 0 KM 55";"ISABA";"ISABA / IZABA";"Pirineos";"Casera o regional";"09/06/2017 0:00:00"
"159";"UR000523";"Cerveceria Internacional";"Restaurantes";"Segunda/2 Tenedores";"Bayona 48";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Internacional";"18/04/1988 0:00:00"
"160";"ur000229";"Ché";"Restaurantes";"Sin definir";"Olite, nº 8 0 ";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";;"30/11/2004 0:00:00"
"161";"UR000509";"Chef Claudio";"Restaurantes";"Segunda/2 Tenedores";"Federico Soto 9";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional, Internacional";"12/05/2005 0:00:00"
"162";"ur000857";"China Imperial";"Restaurantes";"Sin definir";"Pintor Crispín 8";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Internacional";"26/07/2000 0:00:00"
"163";"ur000393";"Ciaurriz";"Restaurantes";"Sin definir";"Padre Calatayud 14";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"08/09/1984 0:00:00"
"164";"ur000180";"Ciudad China";"Restaurantes";"Sin definir";"República Argentina, 3 bajo 0 ";"TAFALLA";"TAFALLA";"Zona Media";;"26/07/2004 0:00:00"
"165";"UR000085";"Clinker";"Restaurantes";"Sin definir";"Mayor 1";"OLAZTI/OLAZAGUTIA";"OLAZTI / OLAZAGUTÍA";"Pirineos";"Casera o regional";"05/09/2001 0:00:00"
"166";"ur000768";"Club Social de Profesionales";"Restaurantes";"Sin definir";"Baja Navarra 47";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"De autor";"16/01/2002 0:00:00"
"167";"UR000308";"Cocktail Bar Meeting Point";"Restaurantes";"Segunda/2 Tenedores";"Iturrama 21";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"28/11/1980 0:00:00"
"168";"UR001126";"Codés";"Restaurantes";"Tercera/1 tenedor";"Los Bodegones 0 S/N";"SANSOL";"SANSOL";"Zona Media";;"30/11/2017 0:00:00"
"169";"UR000043";"Coto de la Valdorba";"Restaurantes";"Primera/3 tenedores";"Santa María 17";"SANSOÁIN";"LEOZ / LEOTZ";"Zona Media";"Casera o regional";"07/03/2001 0:00:00"
"170";"UR001058";"Danbolintxulo";"Restaurantes";"Tercera/1 tenedor";"Danbolintxulo s/n 0";"ETXARRI-ARANATZ";"ETXARRI ARANATZ";"Pirineos";"Casera o regional";"28/05/2014 0:00:00"
"171";"UR000891";"Deboca";"Restaurantes";"Sin definir";"Monjardín, 9-11 0 ";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Innovadora";"20/04/2006 0:00:00"
"172";"ur000090";"Deportivo";"Restaurantes";"Sin definir";"Aragón, 2C/. Aragón 2 ";"CARCASTILLO";"CARCASTILLO";"La Ribera";;"05/12/2001 0:00:00"
"173";"UR000996";"Disco Bar Charly";"Restaurantes";"Sin definir";"Lavadero 26";"CORTES";"CORTES";"La Ribera";"Casera o regional";"29/07/2010 0:00:00"
"174";"ur000348";"Dom Lluis";"Restaurantes";"Sin definir";"San Nicolas 1";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"02/01/1983 0:00:00"
"175";"UR001128";"Domino's Pizza";"Restaurantes";"Tercera/1 tenedor";"Europa 0 S/N";"TUDELA";"TUDELA";"La Ribera";"Italiano";"29/12/2017 0:00:00"
"176";"ur000759";"Domino´s Pizza";"Restaurantes";"Sin definir";"Pío XII 20";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Rápida";"18/09/1996 0:00:00"
"177";"ur000760";"Domino´s Pizza";"Restaurantes";"Sin definir";"Sangüesa 2";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Rápida";"18/09/1996 0:00:00"
"178";"UR001075";"Don Carlos";"Restaurantes";"Lujo/ 4 Tenedores";"Dorraburu 1";"HUARTE";"HUARTE / UHARTE";"Cuenca de Pamplona";"Casera o regional";"02/02/2015 0:00:00"
"179";"ur000418";"Don Manolo";"Restaurantes";"Sin definir";"Sancho el Fuerte 77";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"15/07/1985 0:00:00"
"180";"UR000802";"Don Menú";"Restaurantes";"Tercera/1 tenedor";"de la Inmaculada 70";"ESTELLA-LIZARRA";"ESTELLA-LIZARRA";"Zona Media";"Casera o regional";"24/12/1997 0:00:00"
"181";"UR000048";"Don Pelayo";"Restaurantes";"Sin definir";"Monjardín 16";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";;"28/03/2001 0:00:00"
"182";"UR000640";"Donamariako Benta";"Restaurantes";"Tercera/1 tenedor";"Venta 4";"DONAMARIA";"DONAMARIA";"Pirineos";"Casera o regional";"05/03/1991 0:00:00"
"183";"UR000927";"Dos Hermanas";"Restaurantes";"Tercera/1 tenedor";"Aralar 8";"IRURTZUN";"IRURTZUN";"Pirineos";"Casera o regional";"07/09/2007 0:00:00"
"184";"UR001137";"Ducal";"Restaurantes";"Segunda/2 Tenedores";"Carlos III 39";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"08/06/2021 0:00:00"
"185";"UR000254";"Ducay";"Restaurantes";"Sin definir";"Rúa de Medios 1";"OLITE";"OLITE / ERRIBERRI";"Zona Media";;"23/12/2004 0:00:00"
"186";"UR000186";"Dulanz";"Restaurantes";"Sin definir";"Legarzia 17";"ABÁRZUZA";"ABÁRZUZA / ABARTZUZA";"Zona Media";;"26/07/2004 0:00:00"
"187";"UR000568";"Duque";"Restaurantes";"Sin definir";"Ciriaco Asín 0 S/N";"GALLIPIENZO NUEVO";"GALLIPIENZO / GALIPENTZU";"Zona Media";"Casera o regional";"21/08/1989 0:00:00"
"188";"UR001029";"Durban";"Restaurantes";"Sin definir";"Baja Navarra 3 bajo";"AYEGUI";"AYEGUI / AIEGI";"Zona Media";"Casera o regional";"04/10/2012 0:00:00"
"189";"ur000729";"Echegoyen";"Restaurantes";"Sin definir";"Mayor 0 S/N";"MURCHANTE";"MURCHANTE";"La Ribera";"Casera o regional";"28/12/1995 0:00:00"
"190";"ur000905";"Eguzki";"Restaurantes";"Sin definir";"Eguzki 1";"MUTILVA";"ARANGUREN";"Cuenca de Pamplona";"Casera o regional";"15/09/2006 0:00:00"
"191";"UR000933";"El Molino de Urdániz";"Restaurantes";"Sin definir";"San Miguel, s/n 0 ";"URDAITZ/URDÁNIZ";"ESTERIBAR";"Pirineos";"De autor";"22/11/2007 0:00:00"
"192";"UR001097";"El Castillo";"Restaurantes";"Segunda/2 Tenedores";"El Pinar 46";"LARRAGA";"LARRAGA";"Zona Media";"Asador, Casera o regional";"24/07/2015 0:00:00"
"193";"UR001002";"El Chupinazo";"Restaurantes";"Tercera/1 tenedor";"Estafeta 85 bajo";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"04/05/2011 0:00:00"
"194";"ur000854";"El Cortijo";"Restaurantes";"Segunda/2 Tenedores";"La Paz 0 S/N";"PERALTA";"PERALTA / AZKOIEN";"La Ribera";"Asador";"20/12/1999 0:00:00"
"195";"UR000015";"El Crucero";"Restaurantes";"Sin definir";"Mayor 1";"CORELLA";"CORELLA";"La Ribera";;"30/11/2000 0:00:00"
"196";"UR000877";"El Embrujo";"Restaurantes";"Primera/3 tenedores";"Padre Calatayud, 16-18 0 ";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"De autor";"07/12/2005 0:00:00"
"197";"UR000408";"El Figón";"Restaurantes";"Segunda/2 Tenedores";"Pintor Asenjo 12";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"11/01/1985 0:00:00"
"198";"UR000842";"El Fogón de Noain";"Restaurantes";"Sin definir";"N-240, km. 7 5 ";"NOÁIN";"NOÁIN (VALLE DE ELORZ) / NOAIN (ELORTZIBAR)";"Cuenca de Pamplona";"Casera o regional";"27/03/2000 0:00:00"
"199";"UR000443";"El Fruto";"Restaurantes";"Sin definir";"Mayor 0 S/N";"MURILLO EL FRUTO";"MURILLO EL FRUTO";"La Ribera";"Casera o regional";"18/03/1986 0:00:00"
"200";"UR000063";"El Lechuguero";"Restaurantes";"Primera/3 tenedores";"Romero 8";"CASCANTE";"CASCANTE";"La Ribera";;"20/06/2001 0:00:00"
"201";"UR000130";"El Maño";"Restaurantes";"Sin definir";"Pamplona-Zaragoza, Km.30 0 ";"PUEYO";"PUEYO / PUIU";"Zona Media";"Casera o regional";"18/06/1971 0:00:00"
"202";"UR000991";"El Mercao";"Restaurantes";"Primera/3 tenedores";"Tafalla 7";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional, Innovadora, Oriental";"29/04/2010 0:00:00"
"203";"UR001112";"El Mesón";"Restaurantes";"Segunda/2 Tenedores";"De la Abadía 14";"JAVIER";"JAVIER";"Zona Media";;"21/12/2015 0:00:00"
"204";"UR001133";"El Mesón de la Tortilla";"Restaurantes";"Tercera/1 tenedor";"Navarrería 12 Bajo";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional, De tapas y raciones, Vegetariana";"25/02/2021 0:00:00"
"205";"UR001117";"El Mirador";"Restaurantes";"Tercera/1 tenedor";"Pamplona-Zaragoza 0 Km. 24";"BARÁSOAIN";"BARÁSOAIN";"Zona Media";;"22/07/2016 0:00:00"
"206";"UR001107";"El Mirador de Olite";"Restaurantes";"Segunda/2 Tenedores";"NA-115, km 2'3 0 ";"OLITE";"OLITE / ERRIBERRI";"Zona Media";"Asador, Casera o regional";"09/11/2015 0:00:00"
"207";"UR000160";"El Mosquito";"Restaurantes";"Segunda/2 Tenedores";"Virgen de Ujué 3";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Marisquería";"13/05/1973 0:00:00"
"208";"UR000053";"El Olivo";"Restaurantes";"Segunda/2 Tenedores";"Valtierra-San Adrián 0 S/N";"MILAGRO";"MILAGRO";"La Ribera";;"25/04/2001 0:00:00"
"209";"UR000973";"El Padrino";"Restaurantes";"Sin definir";"Pamplona 20";"ALTSASU/ALSASUA";"ALTSASU / ALSASUA";"Pirineos";"Casera o regional";"27/04/2009 0:00:00"
"210";"UR000268";"El Pañuelico";"Restaurantes";"Tercera/1 tenedor";"Pol. Ind. Cordovilla, Km 3 0 ";"CORDOVILLA";"GALAR";"Cuenca de Pamplona";"Casera o regional";"31/01/2005 0:00:00"
"211";"ur000862";"El Paseo";"Restaurantes";"Sin definir";"Guitarrista Sabicas 4";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"30/08/2000 0:00:00"
"212";"UR000472";"El Poste";"Restaurantes";"Sin definir";"Estella 0 S/N";"LARRAGA";"LARRAGA";"Zona Media";"Casera o regional";"23/08/1989 0:00:00"
"213";"UR000753";"El Pozo de Beriáin";"Restaurantes";"Segunda/2 Tenedores";"Beriain Arlegui km 2 0";"SALINAS DE PAMPLONA";"GALAR";"Cuenca de Pamplona";"Asador, Asador";"24/02/1996 0:00:00"
"214";"ur000692";"El Prado";"Restaurantes";"Tercera/1 tenedor";"Bordalea 16 bajo";"ORKOIEN";"ORKOIEN";"Cuenca de Pamplona";"Casera o regional";"21/03/1994 0:00:00"
"215";"UR000670";"El Redin";"Restaurantes";"Sin definir";"Mercado 5";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"03/07/2002 0:00:00"
"216";"ur000789";"El Retaco";"Restaurantes";"Sin definir";"Esquíroz 5";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Internacional";"05/02/1997 0:00:00"
